id,brand_id,brand_name,product_name,categories,discount,discount_rate,list_price,price,rating_average,review_count,sku,short_url,inventory_status,stock_item_qty,stock_item_max_sale_qty
22492292,246545,dokafashion,"Áo polo nam ngắn tay có cổ ( Tặng 1 quần lót nam ) , Combo 2 áo, DokaFashion regular fit chuẩn hàng xuất, áo phông thun polo nam tay ngắn – EZ235",Root,126000,44,285000,159000,4.5,490,8250369435230,https://tiki.vn/product-p22492292.html?spid=22492294,available,1000,1000
169120359,718933,ARADO FASHION,"Combo 5 quần sịp nam, kiểu dáng ôm mông chất thun cotton thấm hút co giãn tốt - FORMEN SHOP - FM5QS005",Quần lót nam,96000,39,245000,149000,4.5,64,9037512200969,https://tiki.vn/product-p169120359.html?spid=169120361,available,1000,1000
74493672,111461,OEM,[ Có Ảnh Thật ] Áo thun trơn tay lỡ form rộng unisex - Phông trơn,Áo thun nam ngắn tay không cổ,56000,45,125000,69000,5.0,19,8880535772458,https://tiki.vn/product-p74493672.html?spid=74493674,available,1000,1000
71909603,718933,ARADO FASHION,Áo hoodie nam nữ form rộng Unisex một màu in hoạt hình cá tính Hàn Quốc – FORMEN SHOP – FMGV034,Thời trang nam,40000,20,199000,159000,4.6,352,4253400449351,https://tiki.vn/product-p71909603.html?spid=71909605,available,1000,1000
162033134,723623,JAMANO,Combo 5 quần đùi nam mặc nhà Cotton thoải mái thoáng mát Họa Tiết Ngẫu Nhiên - JAMANO,Quần thun nam ngắn,121000,35,350000,229000,4.7,156,8621242878659,https://tiki.vn/product-p162033134.html?spid=162033136,available,1000,1000
126815833,111461,OEM,Quần tây âu nam vải dày co giãn không bai màu ống côn dáng Hàn Quốc,Root,0,0,80000,80000,3.9,12,6824872816027,https://tiki.vn/product-p126815833.html?spid=199904149,available,1000,1000
126700166,159835,LADOS,"Quần Jean nam basic cao cấp LADOS - 4035 form slimfit, vải đẹp",Quần jeans nam dài,185000,37,500000,315000,4.6,191,4895726531829,https://tiki.vn/product-p126700166.html?spid=126700186,available,1000,1000
56919853,841971,SZone,Áo Len Cổ Lọ Nam SZone SAL222 Phong Cách Hàn Quốc,Thời Trang,0,0,129000,129000,4.5,178,4679141074421,https://tiki.vn/product-p56919853.html?spid=56919856,available,1000,1000
143275087,111461,OEM,Áo thun tay lỡ form rộng unisex - Áo phông nam nữ oversize - T shirt Forest b,Áo thun nam ngắn tay không cổ,0,0,125000,125000,4.6,16,9822347301933,https://tiki.vn/product-p143275087.html?spid=143275092,available,1000,1000
76698261,111461,OEM,Quần jean nam ống suông vải co giãn may kỹ đẹp hàng công ty đưa ra loại quần jean công sở,Quần jeans nam dài,0,0,99000,99000,4.0,204,4448978251818,https://tiki.vn/product-p76698261.html?spid=140132291,available,1000,1000
195192891,494763,Fasvin,Quần Gió Nam Thể Thao FASVIN Vải Gió Đẹp Hàng Nhà Máy Chất Lượng Cao Dùng Khi Thể Thao Hay Mặc Nhà DC20423.HN,Quần jogger nam,113000,38,298000,185000,4.8,31,6938858625781,https://tiki.vn/product-p195192891.html?spid=195192911,available,1000,1000
71985742,246545,dokafashion,Áo khoác dù UV mẫu mới 2024 ( Tặng 1 áo khoác kaki ) - Áo Khoác Chống Nắng đến 98% Chống Thấm Nước Có Túi Trong Kèm Túi Khóa Kéo Phong Cách Trẻ Trung,Thời trang nam,99000,33,298000,199000,4.5,189,3507445342582,https://tiki.vn/product-p71985742.html?spid=71985754,available,1000,1000
154298071,488103,MRM Manlywear,"Combo 2 quần đùi nam, quần Short Gió nam thể thao Họa Tiết Rằn Ri trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",Quần thun nam ngắn,130000,33,399000,269000,5.0,197,2240352549120,https://tiki.vn/product-p154298071.html?spid=189475415,available,1000,1000
52184516,488103,MRM Manlywear,Combo 3 quần lót nam Boxer sợi Organic mềm mịn thoáng mát co giãn 4 chiều MRM Manlywear ( TẶNG Đôi Tất Nam Cao Cấp Giao Ngẫu Nhiên),Thời Trang,86000,30,285000,199000,4.6,1210,4058196943911,https://tiki.vn/product-p52184516.html?spid=52184518,available,1000,1000
67231390,111461,OEM,"Quần tây nam Hàn Quốc ống côn công sở cao cấp Hamino chất vải co giãn nhẹ thoải mái màu đen, xanh đen, ghi, kem - Quần âu nam cao cấp Hàn Quốc ống côn",Root,0,0,79000,79000,3.9,117,9928960980778,https://tiki.vn/product-p67231390.html?spid=84776092,available,1000,1000
74823287,221573,Amazing,"Quần short kaki nam Amazing, lưng thun có giây rút, vải co giãn nhẹ, màu sắc đa dạng, có big size",Quần kaki nam ngắn,70000,37,189000,119000,4.6,38,1843085192487,https://tiki.vn/product-p74823287.html?spid=74823293,available,1000,1000
138381315,4807177,Micado,"Áo thun dài tay nam giữ nhiệt co giãn mặc lót chơi thể thao, đá bóng Micado",Áo thun nam dài tay,0,0,60000,60000,4.6,16,1745360238412,https://tiki.vn/product-p138381315.html?spid=272126572,available,1000,1000
111972654,5003355,US ARMY,Quần Túi Hộp Tháo Ống US ARMY U880 Chuyên Phượt Chất Vải Gió Cao Cấp Mau Khô Ống Có Thể Tháo Rời Làm Quần Short -HÀNG CHÍNH HÃNG,Quần jogger nam,392000,56,698000,306000,4.5,88,9418895924007,https://tiki.vn/product-p111972654.html?spid=174105602,available,1000,1000
